# net/minecraft/block/Block
func_73797_d,func_146196_d
func_73798_a,func_146197_a
func_73799_h,func_146198_h
func_73800_i,func_146199_i
func_73801_o,func_146200_o
func_73802_a,func_146201_a
func_73803_e,func_146202_e
func_73804_f,func_146203_f
func_73805_d,func_146205_d
func_73806_l,func_146206_l
func_73807_c,func_146207_c
func_73808_g,func_146208_g
func_82265_c,func_146184_c
func_82266_h,func_146204_h
# net/minecraft/client/gui/inventory/GuiContainer
field_74193_d,field_147002_h
field_74194_b,field_146999_f
field_74195_c,field_147000_g
field_74197_n,field_147009_r
field_74198_m,field_147003_i
field_82320_o,field_147006_u
field_85045_v,field_146991_C
field_85046_u,field_146990_B
field_85047_t,field_146989_A
field_85048_s,field_147010_z
field_85049_r,field_147011_y
field_85050_q,field_147012_x
field_85051_p,field_147005_v
field_90018_r,field_147004_w
field_92032_z,field_146986_E
field_92033_y,field_146985_D
field_94067_D,field_146988_G
field_94068_E,field_146995_H
field_94069_F,field_146996_I
field_94070_G,field_146997_J
field_94071_C,field_146987_F
field_94072_H,field_146998_K
field_94073_I,field_146992_L
field_94074_J,field_146993_M
field_94075_K,field_146994_N
field_94076_q,field_147007_t
field_94077_p,field_147008_s
# net/minecraft/client/network/NetHandlerPlayClient
field_72556_d,field_147304_c
field_72557_e,field_147306_l
field_72558_b,field_147305_a
field_72559_c,field_147303_b
field_72561_j,field_147309_h
field_72562_k,field_147310_i
field_72563_h,field_147299_f
field_72564_i,field_147300_g
field_98183_l,field_147307_j
# net/minecraft/client/renderer/RenderBlocks
func_78570_q,func_147784_q
func_78573_e,func_147798_e
func_78581_r,func_147742_r
func_78597_b,func_147739_a
func_78600_a,func_147800_a
func_78605_f,func_147764_f
func_78611_c,func_147761_c
func_78613_a,func_147768_a
func_78617_b,func_147806_b
func_78622_d,func_147734_d
func_83020_a,func_147782_a
func_96445_r,func_147779_s
# net/minecraft/client/renderer/tileentity/TileEntitySpecialRenderer
renderTileEntityAt,func_147500_a
# net/minecraft/inventory/IInventory
func_70303_b,func_145825_b
func_94042_c,func_145818_k_
# net/minecraft/network/NetHandlerPlayServer
field_72573_d,field_147367_d
field_72574_e,field_147369_b
field_72578_n,field_147375_m
field_72579_o,field_147373_o
field_72580_l,field_147377_k
field_72581_m,field_147374_l
field_72582_j,field_147379_i
field_72583_k,field_147376_j
field_72584_h,field_147366_g
field_72585_i,field_147378_h
field_72586_s,field_147372_n
field_72587_r,field_147380_r
field_72588_q,field_147381_q
field_72589_p,field_147382_p
# net/minecraft/tileentity/TileEntity
field_70323_b,field_145853_j
field_70324_q,field_145854_h
field_70325_p,field_145847_g
field_70326_a,field_145855_i
field_70327_n,field_145849_e
field_70328_o,field_145846_f
field_70329_l,field_145851_c
field_70330_m,field_145848_d
field_70331_k,field_145850_b
func_70306_a,func_145826_a
func_70307_a,func_145839_a
func_70308_a,func_145834_a
func_70309_m,func_145830_o
func_70310_b,func_145841_b
func_70311_o,func_145838_q
func_70312_q,func_145829_t
func_70313_j,func_145843_s
func_70314_l,func_145831_w
func_70315_b,func_145842_c
func_70316_g,func_145845_h
func_70317_c,func_145827_c
func_70318_a,func_145835_a
func_70320_p,func_145837_r
func_70321_h,func_145836_u
func_70322_n,func_145832_p
func_82115_m,func_145833_n
func_85027_a,func_145828_a
# net/minecraft/tileentity/TileEntityFurnace
field_70404_d,field_145957_n
field_70405_b,field_145963_i
field_70406_c,field_145961_j
field_70407_a,field_145956_a
field_94130_e,field_145958_o
field_102009_f,field_145960_m
field_102010_d,field_145962_k
field_102011_e,field_145959_l
func_70397_c,func_145953_d
func_70398_a,func_145952_a
func_70399_k,func_145949_j
func_70400_i,func_145950_i
func_70401_b,func_145954_b
func_70402_r,func_145948_k
func_70403_d,func_145955_e
# net/minecraft/world/ChunkPosition
field_76930_a,field_151329_a
field_76928_b,field_151327_b
field_76929_c,field_151328_c
# net/minecraft/world/IBlockAccess
func_72796_p,func_147438_o
func_72799_c,func_147437_c
# net/minecraft/world/World
func_72831_a,func_147447_a
func_72837_a,func_147455_a
func_72840_a,func_147461_a
func_72845_h,func_147471_g
func_72852_a,func_147448_a
func_72887_b,func_147445_c
func_72902_n,func_147479_m
func_72909_d,func_147458_c
func_72941_a,func_147467_a
func_72978_e,func_147470_e
func_85174_u,func_147469_q
func_94571_i,func_147468_f
func_94578_a,func_147480_a
